Department,Unique Classes
BASQ,608
ECON,470
AKKD,446
HIST,328
ENGL,304
GNSE,284
BIOS,263
CHIN,252
RLST,246
ANTH,245
ENST,242
BANG,217
PBPL,214
ARTH,204
MAAD,199
BCSN,196
CEGU,196
CRWR,192
HIPS,176
GLST,170
CLCV,164
CMSC,163
FNDL,162
CMLT,158
MUSI,156
CMST,153
PLSC,152
ARTV,152
LACS,149
HMRT,139
LING,128
RDIN,126
MDVL,126
PSYC,124
MENG,124
ARCH,118
CHEM,111
NSCI,106
TAPS,104
CHDV,102
MATH,99
LLSO,96
SOCI,90
PHIL,90
STAT,86
GEOS,84
SSAD,76
JWSC,69
ASTR,60
GRMN,60
DATA,44
GISC,44
ENSC,42
COGS,40
PHYS,38
MACS,34
DEMS,30
DIGS,24
SCPD,20
IRHU,18
NORW,11
YDDH,7
